species	january	february	march	april	may	june	july	august	september	october	november	december
bellshroom	87	83	42	36	45	31	34	28	46	34	91	78
bulbroot	24	12	16	0	0	0	0	0	17	15	31	27
cityshroom	0	0	23	27	31	0	0	0	0	0	0	0
convexcap	0	0	0	0	0	0	0	0	112	283	274	126
foulhorn	0	0	0	0	0	0	0	0	56	89	81	43
graystalk	0	0	0	0	12	29	35	33	37	41	16	15
knobbly	0	0	0	0	0	0	13	66	71	59	72	11
leafhorn	21	25	29	21	48	56	55	51	19	23	17	25
redcap	0	0	0	0	0	0	0	0	49	111	116	53
stinkstalk	0	0	0	0	0	0	0	0	13	29	31	0
velvet	0	0	0	3	0	0	0	0	0	0	0	0
