"species"	"cap_shape"	"cap_surface"	"cap_color"	"bruises"	"odor"	"gill_attachment"	"gill_spacing"	"gill_size"	"gill_color"	"stalk_shape"	"stalk_root"	"stalk_surface"	"stalk_color"	"veil_color"	"ring_number"	"ring_type"	"spore_print_color"	"population"	"habitat"
"1"	"pungentia"	"convex"	"scaly"	"brown"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"urban"
"2"	"yellowcap"	"convex"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"black"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"grasses"
"3"	"bellshroom"	"bell"	"scaly"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"meadows"
"4"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"brown"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"urban"
"5"	"grassia"	"convex"	"scaly"	"gray"	"no"	"none"	"free"	"crowded"	"broad"	"black"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"brown"	"abundant"	"grasses"
"6"	"yellowcap"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"grasses"
"7"	"bellshroom"	"bell"	"scaly"	"white"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"numerous"	"meadows"
"8"	"bellshroom"	"bell"	"smooth"	"white"	"yes"	"anise"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"meadows"
"9"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"pink"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"several"	"grasses"
"10"	"yellowcap"	"bell"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"meadows"
"11"	"bellshroom"	"convex"	"smooth"	"yellow"	"yes"	"anise"	"free"	"close"	"broad"	"gray"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"numerous"	"grasses"
"12"	"yellowcap"	"convex"	"smooth"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"brown"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"black"	"scattered"	"meadows"
"13"	"yellowcap"	"bell"	"scaly"	"yellow"	"yes"	"almond"	"free"	"close"	"broad"	"white"	"enlarging"	"club"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"scattered"	"grasses"
"14"	"pungentia"	"convex"	"smooth"	"white"	"yes"	"pungent"	"free"	"close"	"narrow"	"black"	"enlarging"	"equal"	"smooth"	"purple"	"white"	"one"	"pendant"	"brown"	"several"	"urban"
"15"	"grassia"	"convex"	"fibrous"	"brown"	"no"	"none"	"free"	"crowded"	"broad"	"brown"	"tapering"	"equal"	"smooth"	"purple"	"white"	"one"	"evanescent"	"black"	"abundant"	"grasses"
